Trecho,Ativo,Data_Interrupcao,Tempo_Operacao,Freq_Falhas,Clientes_Afetados,Impacto_DEC,Impacto_FEC,Causa,Status_Ativo,Criticidade_Calculada
Trecho 187,Religador,2023-03-10,38,9,30590,1.77,31.32,Clima,Substituído,1915.1391
Trecho 172,Transformador,2023-02-21,21,8,22564,0.43,13.47,Animal,Em Manutenção,1189.6054000000001
Trecho 70,Regulador,2023-11-17,9,3,17642,0.27,5.44,Falha Humana,Em Manutenção,824.7721
Trecho 145,Religador,2023-11-10,25,7,14140,0.41,11.65,Falha Técnica,Em Manutenção,815.6438
Trecho 134,Chave,2024-04-29,39,3,10022,0.55,1.66,Clima,Em Manutenção,455.2855
Trecho 56,Religador,2024-09-28,15,3,8447,0.2,2.62,Animal,Substituído,398.359
Trecho 28,Religador,2024-09-15,32,5,7445,0.16,3.91,Desgaste Natural,Operacional,384.3353
Trecho 131,Transformador,2024-02-18,24,9,6955,0.11,3.71,Desgaste Natural,Substituído,358.4438
Trecho 2,Religador,2023-04-30,57,2,7526,0.83,0.85,Falha Técnica,Operacional,349.6444
Trecho 76,Chave,2024-07-03,56,3,6982,0.46,1.87,Desgaste Natural,Substituído,336.35830000000004
Trecho 141,Chave,2023-09-14,10,3,7312,0.04,1.5,Falha Humana,Operacional,324.8022
Trecho 46,Chave,2024-04-02,4,4,6055,0.02,2.02,Falha Técnica,Substituído,283.8716
Trecho 176,Religador,2023-07-27,12,4,5529,0.13,2.31,Falha Humana,Em Manutenção,272.88239999999996
Trecho 37,Chave,2023-12-30,23,7,5138,0.13,2.43,Desgaste Natural,Substituído,260.54040000000003
Trecho 160,Regulador,2024-11-22,21,1,5367,0.24,0.23,Desgaste Natural,Operacional,228.7777
Trecho 98,Transformador,2024-06-17,13,4,4250,0.1,1.93,Clima,Substituído,213.1725
Trecho 67,Seccionalizador,2024-12-08,13,4,4043,0.03,1.9,Clima,Operacional,202.0179
Trecho 196,Regulador,2024-07-28,12,3,4383,0.03,0.87,Desgaste Natural,Substituído,194.7834
Trecho 31,Religador,2024-07-13,25,7,3260,0.04,2.79,Falha Técnica,Operacional,189.91570000000002
Trecho 189,Chave,2023-08-10,32,4,3554,0.12,1.9,Clima,Operacional,186.89659999999998
Trecho 156,Regulador,2023-11-04,11,3,4024,0.04,0.77,Falha Humana,Substituído,178.6527
Trecho 57,Chave,2023-05-06,37,6,3442,0.16,1.54,Falha Técnica,Operacional,176.8598
Trecho 198,Regulador,2023-08-20,12,9,3696,0.08,1.21,Clima,Operacional,175.7759
Trecho 194,Regulador,2023-10-05,40,3,3503,0.17,1.23,Falha Humana,Operacional,173.6176
Trecho 118,Regulador,2024-06-03,15,3,3367,0.04,1.07,Falha Técnica,Em Manutenção,158.73770000000002
Trecho 17,Transformador,2023-03-23,15,3,3342,0.1,0.93,Falha Humana,Operacional,156.8625
Trecho 39,Chave,2024-01-07,14,8,2727,0.07,2.08,Clima,Em Manutenção,154.38209999999998
Trecho 5,Chave,2024-10-12,27,8,2481,0.09,2.42,Desgaste Natural,Em Manutenção,153.0817
Trecho 20,Religador,2023-03-08,104,3,2758,0.39,1.07,Animal,Em Manutenção,152.84820000000002
Trecho 122,Religador,2023-01-11,17,9,3103,0.06,1.16,Clima,Substituído,150.7998
Trecho 94,Transformador,2023-04-07,12,4,3059,0.03,1.18,Animal,Operacional,148.0699
Trecho 51,Chave,2024-04-27,15,4,2962,0.03,1.33,Desgaste Natural,Operacional,147.4524
Trecho 42,Chave,2024-10-19,180,6,2385,0.28,1.09,Falha Humana,Substituído,140.84390000000002
Trecho 49,Chave,2024-02-02,17,3,2847,0.09,1.06,Falha Humana,Em Manutenção,139.5177
Trecho 128,Transformador,2023-03-27,13,8,2234,0.02,2.24,Animal,Em Manutenção,136.1846
Trecho 127,Religador,2024-09-19,20,8,2365,0.07,1.74,Clima,Em Manutenção,133.5311
Trecho 96,Religador,2023-09-05,9,8,2210,0.04,1.98,Desgaste Natural,Substituído,130.3142
Trecho 65,Transformador,2024-04-09,46,7,2345,0.06,1.45,Animal,Operacional,128.6433
Trecho 106,Religador,2024-02-25,46,8,2293,0.14,1.4,Desgaste Natural,Substituído,128.15019999999998
Trecho 85,Seccionalizador,2023-02-05,11,5,2802,0.03,0.67,Animal,Substituído,127.4334
Trecho 59,Chave,2023-03-10,20,6,2216,0.08,1.58,Animal,Substituído,124.6714
Trecho 23,Chave,2023-07-01,65,2,2720,0.1,0.34,Clima,Em Manutenção,124.094
Trecho 180,Chave,2024-09-20,33,8,1918,0.04,1.99,Desgaste Natural,Em Manutenção,120.75569999999999
Trecho 157,Transformador,2023-11-21,34,6,2189,0.12,1.28,Falha Humana,Operacional,119.9636
Trecho 136,Regulador,2024-03-18,21,2,2741,0.05,0.32,Clima,Em Manutenção,119.3895
Trecho 55,Regulador,2024-07-28,42,6,2365,0.14,0.69,Desgaste Natural,Operacional,116.40370000000001
Trecho 142,Transformador,2024-12-22,6,3,2637,0.01,0.46,Falha Técnica,Operacional,115.55330000000001
Trecho 66,Seccionalizador,2023-05-20,38,5,2437,0.17,0.45,Desgaste Natural,Operacional,115.1006
Trecho 163,Regulador,2023-06-03,51,8,1878,0.11,1.53,Falha Humana,Em Manutenção,113.5968
Trecho 61,Seccionalizador,2023-03-07,23,3,2483,0.1,0.38,Falha Técnica,Substituído,112.06
Trecho 54,Transformador,2023-08-03,11,4,2483,0.03,0.54,Falha Humana,Em Manutenção,112.05390000000001
Trecho 139,Religador,2024-09-21,13,1,2618,0.02,0.18,Desgaste Natural,Substituído,110.0356
Trecho 117,Transformador,2023-05-30,92,2,2312,0.18,0.21,Clima,Substituído,109.9089
Trecho 75,Religador,2023-11-20,13,3,2228,0.05,0.83,Desgaste Natural,Operacional,108.506
Trecho 25,Seccionalizador,2024-09-10,8,7,1834,0.02,1.65,Clima,Operacional,107.89609999999999
Trecho 19,Seccionalizador,2023-09-27,14,8,1972,0.04,1.15,Desgaste Natural,Substituído,104.46969999999999
Trecho 7,Seccionalizador,2024-10-03,10,2,2390,0.03,0.35,Falha Técnica,Substituído,104.42540000000001
Trecho 27,Religador,2024-07-09,38,8,1789,0.09,1.3,Animal,Em Manutenção,103.7137
Trecho 112,Transformador,2024-01-21,32,3,2027,0.09,0.79,Falha Técnica,Substituído,102.4772
Trecho 153,Seccionalizador,2023-08-05,32,3,2009,0.09,0.75,Falha Humana,Em Manutenção,100.9512
Trecho 133,Seccionalizador,2023-05-01,23,6,2000,0.08,0.77,Falha Humana,Em Manutenção,99.9499
Trecho 47,Seccionalizador,2023-06-06,23,6,2036,0.09,0.68,Desgaste Natural,Operacional,99.9007
Trecho 1,Transformador,2023-09-10,14,3,2207,0.06,0.31,Falha Humana,Operacional,97.5923
Trecho 45,Regulador,2023-04-16,33,4,1831,0.06,0.86,Animal,Substituído,95.1548
Trecho 64,Seccionalizador,2023-04-16,83,3,1744,0.14,0.69,Falha Técnica,Em Manutenção,94.84370000000001
Trecho 147,Religador,2024-10-20,32,1,2086,0.11,0.23,Falha Técnica,Em Manutenção,94.20179999999999
Trecho 171,Chave,2024-12-04,11,1,2226,0.02,0.17,Falha Técnica,Operacional,93.9941
Trecho 30,Chave,2024-11-06,15,2,2043,0.06,0.39,Falha Técnica,Em Manutenção,92.7243
Trecho 105,Regulador,2023-08-18,59,5,1611,0.19,0.84,Falha Técnica,Em Manutenção,92.2477
Trecho 41,Chave,2024-10-07,21,6,1652,0.05,1.12,Falha Técnica,Em Manutenção,91.9495
Trecho 110,Chave,2024-07-29,11,4,1977,0.01,0.56,Falha Técnica,Operacional,91.5683
Trecho 138,Religador,2023-09-02,12,9,1474,0.03,1.52,Clima,Substituído,91.5209
Trecho 52,Seccionalizador,2023-09-06,15,1,2055,0.05,0.12,Falha Técnica,Em Manutenção,87.43950000000001
Trecho 184,Transformador,2023-09-26,14,8,1425,0.04,1.31,Desgaste Natural,Em Manutenção,85.8137
Trecho 197,Regulador,2024-04-11,14,2,2007,0.04,0.14,Clima,Substituído,85.51820000000001
Trecho 79,Regulador,2024-10-20,5,9,1752,0.01,0.72,Falha Humana,Operacional,85.3123
Trecho 177,Transformador,2023-05-24,35,3,1829,0.12,0.26,Desgaste Natural,Em Manutenção,85.0906
Trecho 3,Regulador,2023-12-10,24,7,1595,0.03,0.91,Falha Técnica,Substituído,85.02940000000001
Trecho 200,Transformador,2023-01-14,10,8,1766,0.01,0.53,Animal,Em Manutenção,82.4438
Trecho 126,Seccionalizador,2023-05-24,31,5,1640,0.07,0.58,Animal,Operacional,82.0371
Trecho 188,Religador,2023-08-17,16,1,1848,0.05,0.24,Animal,Em Manutenção,81.6575
Trecho 8,Religador,2023-06-03,21,7,1531,0.02,0.73,Falha Humana,Operacional,78.2781
Trecho 63,Seccionalizador,2024-09-02,26,8,1352,0.05,0.9,Falha Humana,Em Manutenção,75.9165
